gene	C100	C141	C142	C143	C144	C145	C146	C148	C149	C152	C51	C52
GPX2	1	17	31	321	21	195	52	2147	367	99	1	1
RAB15	3	18	29	47	4	27	7	85	39	26	4	4
FNTB	108	247	194	203	2	111	23	81	42	67	85	45
AL139022.2	2	1	1	7	0	7	0	0	0	0	1	0
MAX	1091	5779	4396	9579	198	3073	499	1791	1183	1081	1565	726
AL139022.1	0	8	6	10	0	3	1	1	0	2	0	0
LINC02324	1	0	0	21	0	3	1	0	1	0	0	0
AL355076.2	1	11	4	18	3	10	0	1	1	26	0	0
FUT8	227	588	557	1271	37	472	37	282	146	476	241	128
FUT8-AS1	9	53	58	90	5	23	15	11	18	32	12	8
AL391261.2	0	0	0	1	0	1	0	0	0	0	1	0
LINC02290	0	0	0	0	0	0	0	1	0	0	0	0
AL359232.1	16	12	15	13	1	5	2	8	5	13	39	17
CCDC196	0	0	0	1	0	1	1	0	0	1	0	0
GPHN	138	350	370	636	16	173	60	139	92	174	113	68
AL049835.1	0	0	0	0	0	0	0	0	0	0	0	0
FAM71D	68	10	9	23	0	24	5	6	3	6	77	36
MPP5	168	394	342	1103	15	359	70	248	186	213	196	109
ATP6V1D	2630	3003	3406	9202	190	4033	447	1316	720	1313	3081	1624
EIF2S1	1411	3053	2560	6073	129	2614	238	889	711	1504	1106	575
PLEK2	112	151	170	251	16	95	23	267	91	104	94	12
TMEM229B	87	925	954	1319	34	604	61	203	125	59	137	30
PLEKHH1	12	141	78	131	7	133	26	154	80	44	8	3
PIGH	442	1533	1307	1561	47	595	77	398	248	351	441	205
ARG2	17	83	82	186	11	53	31	212	161	88	8	12
VTI1B	2671	7290	5959	11335	277	4277	375	1920	985	1277	4074	2004
AL049779.1	0	0	1	1	0	0	0	0	2	0	0	0
RDH11	981	1762	1942	2521	89	986	125	470	294	435	1294	735
RDH12	8	35	39	6	1	8	8	2	0	1	19	8
ZFYVE26	779	2326	2002	3319	113	1280	233	466	289	208	775	430
RAD51B	244	605	498	384	24	215	15	67	90	124	159	89
AL133370.1	2	0	1	1	0	1	0	1	0	0	0	0
AL121820.2	0	25	26	27	2	61	69	29	5	10	5	11
AL121820.1	1	6	3	6	0	8	4	0	0	2	0	0
ZFP36L1	4013	9040	6067	32272	635	17039	2067	5427	5145	3036	2812	1658
ACTN1	4998	8480	7787	13653	320	6093	608	1995	801	1258	4799	2414
ACTN1-AS1	6	12	5	13	0	5	3	2	0	1	3	1
DCAF5	1096	2063	1881	2147	102	882	163	418	304	303	1041	510
AL391262.1	9	0	0	2	0	0	0	0	0	0	5	3
AL359317.2	2	8	5	5	1	4	1	2	1	2	3	3
EXD2	365	485	514	232	16	173	28	138	61	79	266	161
AL359317.1	0	0	0	0	0	0	0	1	0	0	0	0
GALNT16	0	2	0	5	0	3	3	6	0	0	0	1
ERH	5963	12964	12594	18096	557	7390	693	2687	2384	6555	7533	3916
SLC39A9	523	767	636	1509	32	629	87	372	162	351	458	292
PLEKHD1	3	2	23	14	0	4	2	3	2	4	3	2
CCDC177	0	0	0	0	0	1	0	0	1	0	0	0
SUSD6	1149	1782	1555	8126	69	2777	507	732	349	545	1050	535
SRSF5	5658	8816	8379	18212	421	7111	858	2978	2539	2659	5094	2972
SLC10A1	1	1	2	17	0	2	2	4	2	1	0	0
SMOC1	3	19	19	11	0	7	17	6	2	0	1	4
SLC8A3	0	3	0	1	0	0	1	0	0	1	0	0
AL160191.1	0	0	0	0	0	0	0	0	0	0	0	0
AL356804.1	0	0	0	0	0	0	0	0	1	0	0	0
COX16	892	5848	4803	10673	235	4786	423	1748	964	2012	2065	1552
SYNJ2BP-COX16	11	60	37	51	5	55	6	30	29	34	20	16
SYNJ2BP	844	420	390	425	11	323	29	149	64	98	1036	454
AL357153.2	0	0	0	0	0	0	0	0	1	1	0	0
ADAM21	0	3	0	0	0	1	0	0	0	1	0	0
ADAM20	10	5	3	6	0	3	4	2	4	2	11	17
MED6	1071	1077	796	1555	66	922	108	284	333	491	804	391
AL357153.3	0	1	0	0	0	0	1	0	0	0	0	0
AL357153.1	0	15	16	8	0	9	12	15	11	16	0	2
TTC9	13	112	97	390	9	192	41	572	342	383	10	9
LINC01269	2	50	101	86	4	53	14	131	91	79	0	1
MAP3K9	5	34	39	195	8	58	35	113	76	108	16	7
AC004816.1	3	11	9	64	2	32	15	39	23	49	13	2
AC004816.2	12	18	8	295	1	78	12	19	6	26	48	13
AC004825.2	13	19	8	37	0	27	1	15	7	10	6	2
PCNX1	1256	2338	1680	6672	89	2796	323	598	292	699	923	635
AC004817.3	48	28	32	203	4	40	0	209	45	4	9	1
AC004817.2	0	0	0	0	0	0	0	0	0	0	2	0
AC004817.1	0	0	0	0	0	0	0	0	0	0	0	0
AC004817.4	5	0	0	2	0	2	1	0	1	0	0	0
AC005476.2	6	19	19	20	1	42	29	27	23	19	6	0
SIPA1L1	367	942	841	3258	88	1593	245	819	478	564	183	83
AC005993.1	0	0	0	0	0	0	0	1	0	0	0	0
RGS6	0	0	1	14	0	4	0	2	1	11	0	0
AC004828.1	0	0	1	1	0	0	0	0	0	1	0	0
DPF3	23	50	34	131	2	2	2	3	4	12	20	4
DCAF4	100	164	177	196	7	77	10	36	15	80	116	58
ZFYVE1	220	472	385	855	21	338	58	122	93	132	228	84
AL442663.3	7	26	23	62	3	20	13	11	8	18	10	3
RBM25	4976	5894	5112	13035	270	5444	678	1861	1114	2360	3878	2418
PSEN1	1840	2662	2297	5839	122	2706	357	957	466	686	1262	790
PAPLN	76	48	32	71	1	65	39	37	6	19	15	24
AC004846.1	18	83	52	67	3	56	21	12	10	17	25	13
AC004846.2	28	25	19	93	0	80	8	18	7	20	18	4
NUMB	2390	3086	2618	8614	118	3361	659	1174	437	1190	1667	904
AC005280.2	109	230	203	1674	7	380	111	199	10	279	199	162
HEATR4	5	0	4	3	0	4	1	3	2	0	3	2
RIOX1	245	479	445	1093	17	331	26	173	102	153	264	161
AC005225.3	1	0	0	0	0	1	1	0	0	0	0	0
ACOT1	4	169	149	126	15	60	4	53	22	11	9	394
ACOT2	1416	3829	4955	1540	154	808	116	442	180	289	2817	2092
ACOT4	695	1289	1819	548	49	255	19	192	72	168	1297	807
ACOT6	0	4	0	2	0	0	2	1	2	4	1	0
AC005225.2	28	72	66	52	4	11	6	11	1	7	61	41
DNAL1	205	403	446	271	25	357	94	240	77	161	303	176
AC006146.1	0	0	0	0	0	0	0	0	0	1	0	0
PNMA1	296	714	761	1705	60	790	113	426	198	303	259	159
ELMSAN1	1281	1080	733	1708	67	503	196	328	200	329	1198	603
AC005520.2	17	173	127	111	5	56	16	20	19	38	29	16
LINC02274	0	1	1	7	1	4	0	1	3	2	1	0
PTGR2	331	349	416	290	15	162	28	75	38	32	263	233
AC005520.1	2	2	4	1	0	3	1	4	0	1	2	0
AC005520.5	0	0	0	2	0	2	0	0	0	1	0	0
ZNF410	80	702	499	993	27	296	59	203	184	180	36	17
AC005480.1	19	8	5	4	0	1	3	0	0	1	5	0
FAM161B	44	167	136	96	9	88	18	36	29	21	66	42
COQ6	287	794	813	718	37	385	59	177	121	157	362	209
ENTPD5	326	734	629	1171	32	430	40	165	90	156	264	226
BBOF1	44	326	302	143	25	519	246	348	93	112	130	121
ALDH6A1	396	405	429	497	24	271	29	139	81	147	337	171
LIN52	181	578	457	1551	26	852	180	194	302	306	135	73
VSX2	0	0	0	0	0	0	0	0	0	0	0	0
ABCD4	424	800	817	1196	28	524	103	266	190	235	406	209
VRTN	0	0	0	1	0	0	0	0	0	0	0	0
SYNDIG1L	0	0	0	5	0	5	1	1	1	0	2	0
AC005479.2	1	2	3	29	0	9	2	1	1	3	0	6
AC005479.1	0	0	2	4	0	2	0	0	0	0	1	0
NPC2	24722	39722	34854	98636	1539	43623	5365	12125	8203	7153	47306	28001
ISCA2	889	2604	2193	5116	128	2396	170	783	675	832	882	511
LTBP2	2	16	15	46	2	52	6	13	3	2	1	0
AC013451.1	0	0	0	0	0	0	0	0	0	0	0	0
AC013451.2	0	1	0	2	0	0	0	0	0	0	0	0
AREL1	264	571	529	1324	33	614	70	240	116	190	286	164
FCF1	568	909	748	1241	38	650	94	220	156	273	2035	2084
YLPM1	648	1255	1115	1674	54	714	105	352	191	435	399	212
PROX2	13	41	26	3	2	3	0	1	0	2	12	11
DLST	434	1288	1255	2392	76	792	138	470	317	558	536	326
RPS6KL1	81	78	82	38	3	15	10	19	6	34	66	34
PGF	9	9	8	75	0	21	11	15	38	15	5	6
EIF2B2	361	1051	907	1925	51	753	85	351	279	553	445	210
AL049780.1	3	5	1	11	0	2	1	3	3	5	11	5
MLH3	469	368	399	429	25	278	47	79	75	116	256	193
ACYP1	523	622	758	2279	49	800	211	264	226	543	593	257
ZC2HC1C	24	61	101	74	7	133	116	53	25	31	24	8
NEK9	708	1434	1348	1780	61	679	128	295	216	314	657	382
AL049780.2	2	18	16	83	0	6	8	6	2	11	0	6
TMED10	8716	14164	14718	15726	598	7707	687	3918	3051	4920	8264	3965
AL691403.2	42	7	4	43	0	17	4	12	15	19	5	1
AL691403.1	0	2	1	0	0	0	0	1	2	0	0	0
AF111167.1	1	0	0	1	0	2	0	2	2	0	0	0
FOS	42516	17811	10773	133789	861	45944	3653	25383	18124	1295	5633	2363
LINC01220	27	42	28	223	2	47	6	34	49	27	19	7
AF111167.2	32	74	75	86	1	37	18	24	29	18	34	14
JDP2	618	522	422	973	16	468	122	244	269	120	454	204
BATF	169	1832	1170	7685	92	1317	417	678	522	1621	310	102
AC007182.1	29	23	19	61	0	13	3	5	8	5	47	11
FLVCR2	1687	2638	2516	3423	44	1659	100	376	304	273	1516	561
TTLL5	282	342	282	587	18	333	78	223	97	153	141	88
ERG28	356	1248	1214	1589	76	425	62	619	293	595	574	423
AF107885.2	0	1	0	1	0	0	0	0	0	0	0	0
IFT43	356	1463	1624	1109	100	773	216	562	227	339	942	462
TGFB3	6	23	21	23	2	9	17	13	9	7	3	4
TGFB3-AS1	0	0	0	1	0	0	0	0	0	0	0	0
AC016526.4	0	0	0	0	0	0	0	0	0	0	0	0
GPATCH2L	1568	1378	1435	4409	75	1527	300	456	279	535	1111	731
AC016526.1	0	0	0	1	0	0	0	0	0	0	0	0
ESRRB	1	5	1	7	0	0	2	1	1	2	0	0
AC008050.1	1	21	22	10	0	2	0	0	0	0	3	1
AC007376.2	1	33	19	20	1	16	0	3	0	0	0	0
VASH1	1241	1757	1242	1404	38	713	66	214	12	57	1246	519
AF111169.3	0	13	8	4	0	10	1	2	0	2	0	0
AF111169.1	0	0	0	0	0	0	0	0	0	0	0	0
VASH1-AS1	187	202	205	247	12	144	20	40	9	23	229	189
ANGEL1	367	857	789	781	29	353	56	104	37	94	368	278
LRRC74A	3	18	16	9	0	4	0	1	0	1	3	8
AF111169.2	0	0	0	0	0	0	0	0	0	0	0	0
LINC01629	0	8	0	24	0	0	4	4	2	1	0	0
IRF2BPL	1025	1475	1088	4465	61	1920	188	608	454	367	1655	523
AC007686.3	66	43	40	160	1	59	11	31	51	39	102	54
LINC02288	3	1	3	3	0	3	4	2	2	1	4	0
AC007686.2	1	9	3	2	0	4	9	0	2	2	1	0
LINC02289	0	17	9	3	0	1	3	0	5	0	9	1
CIPC	578	559	412	600	25	471	65	287	109	136	447	351
AC007375.2	0	0	0	0	0	0	0	0	0	0	0	0
TMEM63C	3	7	6	12	1	14	3	49	21	11	1	1
ZDHHC22	0	0	0	2	0	1	0	0	0	1	0	0
AC007375.3	0	0	0	1	0	0	0	0	0	0	0	0
NGB	0	0	1	1	0	0	0	2	0	0	0	0
POMT2	72	187	163	329	6	137	58	127	49	54	66	34
GSTZ1	545	1166	1000	1132	48	394	70	325	131	367	528	278
TMED8	618	655	525	1427	44	396	77	125	58	200	456	286
SAMD15	11	60	47	48	2	81	74	32	6	11	6	7
NOXRED1	1	4	5	14	1	11	2	10	2	4	0	0
VIPAS39	346	674	630	975	22	356	47	132	97	167	293	155
AHSA1	1294	3106	3131	9181	198	2400	465	1212	1177	1516	1559	756
ISM2	0	0	0	1	0	0	1	1	0	0	0	0
SPTLC2	725	3358	2883	12100	116	3692	348	1430	778	541	593	327
ALKBH1	200	445	388	900	13	336	61	93	72	133	147	87
SLIRP	2906	13147	11673	22131	451	7284	939	3546	2258	3941	13523	7150
SNW1	1527	4561	3685	6996	186	4030	470	810	740	1046	1791	967
C14orf178	2	0	0	3	0	0	0	2	1	2	2	1
ADCK1	151	295	291	286	9	163	23	101	40	50	153	78
NRXN3	0	11	16	17	1	8	24	17	12	16	1	6
AF099810.1	0	0	0	0	0	0	0	0	0	0	0	0
AC009396.2	0	0	0	0	0	0	0	0	0	0	0	0
AC009396.3	0	0	0	0	0	0	0	0	0	0	0	0
AC009396.1	0	1	0	0	0	0	0	0	2	0	0	0
AC026888.1	0	0	0	0	0	0	0	0	0	0	0	0
AC022469.2	0	0	0	0	0	0	0	0	0	0	0	0
AC008056.2	0	0	0	0	0	0	0	0	0	0	0	0
AC008056.1	0	0	0	0	0	0	0	0	0	0	0	0
AF123462.1	0	0	0	0	0	0	0	0	0	0	0	0
DIO2	1	3	3	5	0	0	10	5	0	3	0	0
DIO2-AS1	0	0	0	0	0	0	0	0	0	0	0	0
CEP128	100	246	209	456	7	128	35	67	16	539	65	42
TSHR	2	6	5	68	1	12	2	9	2	149	2	0
AC007262.2	15	73	40	45	2	29	7	10	5	27	10	15
GTF2A1	959	925	865	2948	38	1090	167	281	211	572	658	352
AL136040.1	25	31	22	74	1	29	27	13	17	46	10	7
STON2	46	192	207	239	8	183	39	164	88	55	91	122
LINC02308	0	0	0	0	0	0	0	0	0	0	0	0
SEL1L	3765	4291	3889	4820	140	1999	229	676	343	1298	2579	1802
LINC01467	0	0	0	2	0	0	0	0	0	0	0	0
LINC02311	0	0	0	0	0	0	0	0	0	0	0	0
AL355838.1	0	0	1	0	0	0	0	0	0	0	0	0
LINC02301	0	0	1	0	0	1	0	1	0	0	0	0
AL355095.1	0	0	0	0	0	0	0	0	0	0	0	0
AL359238.1	0	0	0	0	0	0	0	0	0	0	0	0
AL162872.1	0	0	0	0	0	0	0	0	0	0	0	0
LINC02305	0	0	0	0	0	0	0	0	0	0	0	0
AL357172.1	0	0	0	0	0	0	0	0	0	0	0	0
AL049775.2	0	0	0	0	0	0	0	0	0	0	0	0
LINC02329	0	0	0	0	0	0	0	0	0	0	0	0
LINC00911	1	0	0	0	0	0	0	0	0	0	1	0
AL049775.1	0	1	0	1	0	1	2	0	0	1	0	0
AL049775.3	0	0	0	1	0	0	0	0	0	0	0	0
FLRT2	11	8	2	23	0	18	6	15	15	11	3	3
LINC02328	103	242	205	266	9	90	9	25	29	22	107	123
LINC02316	0	1	0	1	0	1	0	0	0	0	0	0
LINC02309	0	0	0	0	0	0	0	0	0	0	0	0
LINC01148	0	0	0	0	0	1	0	0	0	0	0	0
AL358292.1	0	0	0	0	0	0	0	0	0	0	0	0
AL352955.1	0	0	0	0	0	0	0	0	0	0	0	0
AL157688.1	0	0	0	0	0	0	0	0	0	0	0	0
LINC02296	1	1	0	0	0	0	0	0	0	0	0	0
AL135746.1	0	0	0	0	0	0	0	0	0	0	0	0
LINC02330	0	0	5	0	0	0	0	0	0	0	2	2
AL359237.1	9	33	38	5	0	1	0	0	0	0	4	5
AL136501.1	0	0	0	0	0	0	0	0	0	0	0	0
GALC	1704	1950	1613	1988	44	917	110	262	192	218	2369	1278
GPR65	3668	6797	3925	4747	117	2135	153	493	589	643	4305	2004
AL157955.1	2	7	2	2	0	0	0	0	0	1	4	7
AL157955.2	0	5	5	0	0	0	0	1	0	0	2	0
LINC01146	92	637	295	210	7	101	4	11	7	14	157	45
AL133279.2	0	0	0	0	0	0	0	0	0	0	0	0
AL133279.3	0	0	0	0	0	0	0	1	0	0	0	0
AL133279.1	4	23	12	4	0	2	0	0	0	0	71	11
KCNK10	0	12	2	6	0	1	1	0	0	0	1	0
SPATA7	104	235	235	111	13	89	23	102	26	36	168	77
PTPN21	5	31	28	33	0	35	18	67	29	25	5	6
AL162171.2	0	0	2	0	0	0	0	0	0	1	0	1
AL162171.1	0	3	1	0	0	2	0	4	0	2	0	0
ZC3H14	656	1073	1069	1057	46	517	91	356	179	223	583	309
EML5	7	18	20	31	1	19	11	11	7	20	6	1
AL121768.1	1	3	4	0	0	5	0	2	1	1	2	1
TTC8	225	288	489	104	19	121	43	107	47	41	235	137
AL137785.1	0	0	0	0	0	0	0	0	0	0	0	0
FOXN3	2175	2351	2194	5468	130	2386	289	994	489	663	1391	936
AL138478.1	0	0	0	2	0	2	0	1	0	0	1	0
AL357093.2	6	383	548	244	125	2268	210	743	152	134	12	74
AL357093.1	1	8	8	2	1	4	7	1	4	3	1	5
AL356805.1	0	0	1	2	0	10	0	4	0	0	0	0
FOXN3-AS1	151	106	92	332	7	161	30	49	13	59	130	85
FOXN3-AS2	0	0	0	2	0	0	0	1	0	0	0	0
AL137230.1	1	6	2	21	0	2	15	0	0	2	0	0
EFCAB11	150	526	522	437	18	292	28	131	71	255	222	133
TDP1	160	520	479	954	27	235	39	158	93	289	184	117
KCNK13	63	41	26	264	2	30	14	45	19	44	20	7
PSMC1	1957	4832	4643	9170	234	4298	416	1666	1223	1790	3462	2258
NRDE2	593	727	772	1211	50	642	95	180	98	241	752	475
AL512791.2	10	10	10	229	1	20	4	33	20	24	3	5
CALM1	19268	31863	40590	124302	2467	67626	4430	18962	23225	15210	20035	9246
AL512791.1	0	0	0	1	0	0	0	0	0	0	0	0
LINC02317	0	0	0	0	0	0	0	0	0	0	0	0
LINC00642	0	0	0	0	0	0	0	1	0	0	0	0
AL096869.3	0	1	0	1	0	1	0	0	0	2	0	0
TTC7B	428	536	583	809	28	533	58	172	62	62	386	257
AL096869.1	0	2	0	0	2	0	0	1	0	0	0	0
AL096869.2	1	1	2	0	0	3	0	0	0	0	0	0
AL139193.1	0	0	0	0	0	1	0	0	0	0	0	0
AL139193.2	1	1	2	2	0	1	0	0	2	0	0	0
LINC02321	0	24	25	59	0	29	2	7	8	21	0	0
RPS6KA5	1320	1162	1324	1295	48	483	76	171	154	261	877	602
DGLUCY	1144	2762	2460	2840	88	884	181	442	379	413	898	471
GPR68	67	141	148	196	27	30	5	18	17	169	9	2
AL135818.2	2	3	1	19	0	7	5	7	3	4	0	0
CCDC88C	106	808	734	2044	84	916	230	520	428	766	45	20
AL133153.2	0	1	1	2	0	3	2	2	0	0	0	0
PPP4R3A	1846	1957	1719	5532	107	2828	291	848	656	1012	911	609
CATSPERB	2	13	3	10	0	7	3	30	16	3	1	0
TC2N	128	1220	1016	1249	135	389	81	731	499	345	47	12
FBLN5	10	132	83	391	4	155	7	130	170	85	17	4
TRIP11	1005	2702	2542	3423	94	1869	254	790	499	763	700	529
ATXN3	1770	1787	1560	2902	64	1607	142	330	322	366	1383	807
NDUFB1	11795	18957	14900	26805	897	14032	1304	3995	2262	5059	39807	26192
CPSF2	1552	1580	1588	3034	59	1512	112	428	218	630	1106	652
AL133240.1	0	2	0	0	0	0	0	0	0	0	0	0
SLC24A4	562	351	116	165	1	57	5	45	10	15	454	446
RIN3	1818	2981	2361	3217	134	1456	108	593	596	516	1703	849
LGMN	1006	17819	14310	39976	1721	41976	3801	10405	4610	2015	1885	818
GOLGA5	551	1050	1080	2249	40	939	100	478	316	409	369	259
AL117192.1	0	0	0	0	0	2	0	0	2	0	0	0
LINC02287	0	1	0	1	0	0	1	0	0	0	0	0
CHGA	0	0	0	1	0	3	0	0	51	0	0	0
ITPK1	1064	2353	2526	2853	94	1131	133	523	361	416	1638	696
ITPK1-AS1	58	9	11	14	1	8	0	2	1	1	30	22
MOAP1	327	570	537	1198	35	477	89	231	117	173	262	155
TMEM251	2479	2224	2072	4345	123	3208	509	888	626	578	2322	1175
AL110118.2	0	0	1	1	1	3	0	0	1	0	0	0
GON7	826	1711	1687	2522	76	1430	120	542	285	706	792	418
UBR7	222	753	646	1287	49	477	66	168	147	407	241	130
BTBD7	843	706	600	1653	25	743	156	296	144	289	636	354
UNC79	0	13	6	8	0	15	22	9	6	3	1	2
COX8C	0	0	2	2	0	1	1	0	1	0	1	0
PRIMA1	0	0	3	0	0	0	0	0	0	0	0	0
FAM181A-AS1	0	2	4	0	0	0	0	0	1	0	0	0
FAM181A	1	12	6	2	0	3	0	5	0	0	0	1
ASB2	45	179	105	118	25	22	2	16	20	215	13	5
AL132642.1	0	0	0	0	0	0	0	0	0	0	0	0
CCDC197	0	0	0	2	0	0	0	0	0	0	0	0
OTUB2	80	77	116	150	3	88	16	65	31	33	75	18
DDX24	4712	9998	10200	12046	622	6677	818	1488	1492	2286	6002	3265
IFI27L1	295	921	1215	2232	55	770	105	321	248	1247	710	295
IFI27	6064	72871	201938	405741	8094	314468	19914	62303	76479	48209	59594	11531
IFI27L2	4130	4351	4677	18815	263	6607	541	1739	1177	2567	9094	4739
PPP4R4	0	19	25	46	1	15	20	16	12	35	0	0
SERPINA10	0	0	0	0	0	0	1	0	0	0	0	0
SERPINA6	0	14	4	0	0	2	1	2	3	1	1	0
SERPINA1	28508	78633	108882	100998	2233	29909	2468	7280	2213	2526	58271	25209
AL132708.1	0	1	0	0	0	0	0	0	0	0	0	0
SERPINA11	0	0	1	1	0	1	0	1	0	0	0	0
SERPINA9	10	7	19	0	1	0	0	0	0	0	96	7
SERPINA12	0	0	0	0	0	0	0	0	0	0	0	0
SERPINA4	0	0	0	0	0	0	0	0	0	0	0	0
SERPINA5	0	0	0	0	0	1	0	0	0	0	0	0
AL049839.2	0	0	0	0	0	0	0	0	0	0	0	0
SERPINA3	0	0	0	1	0	0	0	0	3	3	0	0
GSC	1	5	4	4	0	0	1	3	3	1	1	3
AL121612.1	0	0	0	0	0	0	0	0	0	0	0	0
LINC02279	0	0	0	1	0	0	0	0	0	0	0	0
AL390254.1	0	0	0	0	0	0	0	0	0	0	0	0
DICER1	2452	2814	2342	7891	120	2777	428	932	333	969	1460	1000
DICER1-AS1	43	84	93	66	5	47	55	25	25	39	68	33
CLMN	617	1621	1487	1589	51	1015	204	604	232	317	734	480
LINC02292	0	0	1	1	0	1	0	0	0	0	0	0
SYNE3	171	275	172	1345	25	896	55	202	139	413	173	49
AL133467.1	6	58	6	387	2	121	4	16	26	848	10	10
SNHG10	84	288	260	378	16	261	124	101	71	226	131	90
GLRX5	1422	1097	1045	1945	70	771	83	527	246	1261	1462	527
LINC02318	0	0	0	0	0	0	0	0	0	0	0	0
AL133467.2	0	1	0	5	0	2	0	2	0	3	0	0
AL133467.4	0	0	0	0	0	0	0	0	0	0	0	0
TCL1B	0	0	4	3	0	0	0	0	0	0	0	0
TCL1A	6	136	62	39	26	50	0	3	1	4	1	0
AL139020.1	0	1	2	4	3	3	1	0	1	0	0	0
AL133167.1	0	0	0	0	0	0	0	0	0	0	0	0
TUNAR	0	3	0	1	0	0	0	2	0	0	0	0
C14orf132	2	23	40	32	4	34	9	19	12	7	2	0
BDKRB2	0	27	17	22	1	17	36	74	20	19	2	1
AL355102.2	0	0	0	1	0	0	4	2	2	2	0	0
AL355102.5	0	0	0	0	0	0	1	0	0	0	0	0
BDKRB1	0	2	0	3	0	3	4	3	3	4	0	0
AL355102.4	0	0	0	0	0	0	0	2	0	1	0	0
AL355102.3	0	0	0	0	0	0	0	0	0	2	2	0
ATG2B	252	375	349	560	20	294	53	132	80	169	242	125
GSKIP	793	898	749	1112	35	504	64	312	203	364	816	397
AK7	3	155	211	57	16	191	18	99	38	57	17	15
AL163051.1	30	69	68	230	0	101	23	46	30	79	32	19
PAPOLA	4263	5385	4884	15476	284	5508	642	2319	1442	2611	3499	1929
AL137786.1	1	10	19	5	3	3	1	3	7	10	2	6
LINC02299	0	1	1	0	0	0	0	0	0	0	0	1
VRK1	398	736	743	1156	41	336	34	104	121	809	453	269
AL049833.2	0	0	0	0	0	0	0	0	0	0	0	0
AL049833.1	0	0	0	0	0	0	1	0	0	0	0	0
LINC02304	0	0	0	0	0	0	0	0	0	0	0	0
LINC02325	1	30	27	51	6	9	2	2	13	3	0	0
LINC02291	0	0	0	0	0	0	0	0	0	0	0	0
LINC02312	0	0	1	0	0	0	0	0	0	0	0	0
AL355097.1	0	0	0	0	0	0	0	0	0	0	0	0
LINC01550	33	193	159	346	21	69	15	21	68	76	19	3
AL163932.1	0	0	2	0	0	0	0	0	0	0	0	0
LINC02295	0	2	4	3	0	0	0	0	2	0	0	0
AL132719.1	0	0	0	0	0	0	0	0	0	0	0	0
C14orf177	0	0	0	0	0	0	0	0	0	0	0	0
AL132796.1	0	0	0	0	0	0	0	0	0	0	0	0
AL132796.2	0	0	0	0	0	0	0	0	0	0	0	0
AL162151.1	0	0	0	1	0	0	0	0	0	0	0	0
BCL11B	258	479	480	1057	75	254	26	39	217	272	97	13
AL109767.1	1	3	0	1	0	0	0	0	2	1	0	0
AL132819.1	0	0	0	0	0	0	0	0	0	0	0	0
SETD3	1129	1826	1736	3580	88	1207	132	700	289	435	891	500
CCNK	946	3663	2665	5203	141	1998	262	848	625	751	922	787
CCDC85C	60	579	430	761	21	324	38	198	112	158	91	45
AL110504.1	0	0	3	1	0	0	0	0	0	1	0	0
AL160313.1	0	2	8	0	0	0	0	0	3	1	2	0
HHIPL1	0	0	27	1	1	2	2	3	2	0	13	0
CYP46A1	7	15	17	6	3	7	6	3	0	1	0	3
AL160313.2	0	0	0	0	0	0	0	0	0	0	0	0
EML1	3	40	54	35	0	71	17	70	21	24	2	5
EVL	15018	14626	14998	15219	804	3678	376	1378	1659	1966	8711	3625
AL133368.2	0	0	0	0	0	0	0	0	0	0	0	0
AL157912.1	2	4	9	5	3	10	1	5	3	3	6	0
DEGS2	33	319	222	111	57	311	51	371	229	115	28	24
AL133523.1	0	28	31	62	0	11	0	12	1	7	1	0
YY1	3310	4823	4423	10602	211	3300	519	1285	846	1124	2842	1599
SLC25A29	434	324	310	344	22	394	202	411	108	195	257	146
AL157871.1	0	0	0	2	0	1	0	0	0	0	0	0
SLC25A47	1	2	0	1	0	0	0	0	0	0	3	0
WARS	3164	10186	12921	97211	888	14839	2090	7490	3347	5662	3546	1696
AL157871.4	0	3	1	1	0	1	0	0	0	1	0	0
AL157871.2	2	0	1	2	0	0	0	1	0	0	0	0
WDR25	143	461	482	594	12	232	60	113	74	127	190	63
BEGAIN	21	70	37	4	2	41	4	3	3	1	17	12
AL845552.2	0	0	0	0	0	0	0	0	0	0	0	0
LINC00523	0	0	0	1	0	0	0	0	0	0	0	0
AL132711.1	0	0	0	0	0	0	0	0	0	0	0	0
DLK1	0	1	0	0	0	0	0	0	0	0	0	0
MEG3	0	0	2	25	0	7	4	4	9	4	0	0
AL117190.2	0	0	0	0	0	0	0	0	0	0	0	0
AL117190.1	0	0	0	0	0	0	0	0	0	0	0	0
RTL1	0	0	0	0	0	0	0	0	0	0	0	0
MEG8	1	7	7	26	0	18	10	0	10	0	0	2
MIR381HG	0	0	0	0	0	0	0	0	0	0	0	0
MEG9	0	0	1	2	0	0	0	0	0	0	0	0
AL132709.1	0	0	0	0	0	0	0	0	0	0	0	0
LINC02285	48	120	123	81	2	37	2	7	12	6	110	29
AL359682.1	0	0	0	0	0	0	0	0	0	0	0	0
AL355096.1	0	0	0	0	0	0	0	0	0	0	0	0
LINC00524	0	0	0	0	0	0	0	0	0	0	0	0
LINC02314	0	0	0	0	0	0	0	0	0	0	0	0
AL049836.2	0	0	0	0	0	0	0	0	0	0	0	0
DIO3OS	1	0	0	1	0	1	0	0	0	0	0	0
DIO3	0	0	0	0	0	0	0	0	0	0	0	0
AL049836.1	0	1	9	5	0	1	1	0	5	2	0	0
LINC02320	0	1	4	5	0	1	2	0	7	1	0	0
LINC00239	281	112	152	149	1	19	18	10	63	23	646	263
